qid,activity,exposure,dayofweek,response,endurance
62642751,2,115,0,2051.0,3855.0000000000005
62643794,2,129,0,25062.0,45546.0
62644767,6,96,0,282.0,377.0
62643140,1,43,0,2781.0,2781.0
62645319,1,64,0,,0.0
62646716,3,90,0,1997.0000000000002,46231.0
62646343,1,118,0,59955.00000000001,59955.00000000001
62646054,0,42,0,,0.0
62647805,2,1000,0,1978.0000000000002,91743.0
62646887,4,30,0,33641.0,33641.0
62647865,1,320,0,4825.0,301282.0
62632365,4,59,0,558.0,1573.0
62352025,3,94,4,417182.0,949349.0000000001
62350261,10,9000,4,34341.0,59071.00000000001
62312676,2,188,2,704166.0,704224.0
62337833,1,27,4,152386.0,152386.0
62569226,1,68,3,8955.0,8955.0
62355071,6,232,5,2471.0,4779.0
62325669,9,133,3,887.0,13503.0
62352349,1,32,4,2683.0,2683.0
62281160,1,12,1,655.0,655.0
62281434,6,3000,1,16069.000000000002,17975.0
62281414,9,473,1,8089.000000000001,15416894.000000002
62260369,1,39,0,85814.0,85814.0
62201335,3,29,3,1287.0,1287.0
62238347,5,2000,5,65626.0,655528.0
62175995,1,44,2,67630.0,149685.0
62046317,0,31,2,,0.0
62085209,3,31,4,218.0,300.0
62085500,1,39,4,1098.0,5406.0
62156587,3,78,1,354.0,354.0
62015824,1,118,1,,0.0
61974847,0,418,5,,1267.0
62149572,4,34,1,4751.0,4751.0
61998016,1,15,0,10881.0,10881.0
61967785,2,75,5,759.0,14107143.0
61998617,8,478,0,28065847.0,37280042.0
62108085,1,86,5,,53150.0
61998847,0,35,0,,115674.0
62108813,5,33,5,502.00000000000006,506.00000000000006
62108466,4,129,5,4929.0,17814128.0
61967895,9,440,5,44116404.0,44117905.0
62109901,1,189,5,285822.0,285822.0
62109619,3,134,5,1486.0,3033.0
62112537,1,23,6,15029.000000000002,15029.000000000002
62113075,3,413,6,4868.0,47232.0
62113159,1,409,6,57402.0,57402.0
62114194,0,37,6,,137185.0
62113334,2,31,6,684.0,11257.0
62114201,2,636,6,578.0,36483.0
62114707,2,879,6,166557.0,183105.0
61999274,0,38,0,,8508.0
62114791,5,49,6,17416361.0,17416361.0
62114713,2,924,6,2920.0,46064011.0
62115063,1,620,6,253687.00000000003,6610142.0
62114944,1,53,6,447.0,83971.0
62115326,1,493,6,88197.0,7443986.0
62115640,2,736,6,12115.0,12115.0
62111343,1,491,6,,18410.0
62115353,1,105,6,,0.0
62115976,1,233,6,9636.0,9636.0
62115654,7,46,6,1674.0,4457.0
62116289,1,61,6,7315.000000000001,7616.000000000001
62118176,3,327,6,756.0,756.0
62118901,2,77,6,33333715.000000004,33334064.000000004
62117746,1,24,6,104860.0,104860.0
62121257,1,111,6,740.0,13843.0
62119284,5,2000,6,23156.0,310078.0
62117036,2,203,6,521.0,521.0
62121551,3,79,6,424.0,44221083.0
62122003,0,29,6,,0.0
62122666,5,68,6,540.0,2518.0
62122811,1,38,6,2001.0000000000002,3220.0
62122832,1,13,6,1991.0000000000002,1991.0000000000002
62123582,1,25,6,,0.0
62123097,2,48,6,7011.0,41748.0
62123645,1,164,6,6347247.0,6382766.0
62123655,3,477,6,0.0,43788.0
62125174,2,84,0,74635.0,74635.0
62123765,3,731,6,2180.0,2334.0
62126213,1,21,0,2233.0,2233.0
62126824,0,25,0,,0.0
62127152,0,36,0,,94270.0
62127810,1,43,0,5435.0,5435.0
62128787,3,793,0,3223045.0,6218882.0
62129922,1,157,0,2105.0,3426.0
62000167,2,293,0,14709.000000000002,15214.000000000002
61999950,3,169,0,797.0,1011.0000000000001
62129901,1,1000,0,6107.0,6107.0
62000200,1,597,0,1019522.0000000001,1019522.0000000001
62124882,3,554,0,32160.000000000004,32160.000000000004
62000910,1,37,0,941.0000000000001,2353.0
62002828,1,126,0,26402.0,26402.0
62001523,2,295,0,383.0,4943937.0
62003986,3,32,0,761.0,761.0
62005381,1,28,0,810.0,3553.0
62005329,0,45,0,,0.0
62002997,1,80,0,,68581.0
62005745,3,53,0,1771.0,1771.0
62005785,3,721,0,1866.0000000000002,51167.0
62005795,1,104,0,15948.000000000002,15948.000000000002
62005879,5,60,0,569153.0,569153.0
62006101,2,159,0,66836.0,66836.0
62007094,2,421,0,1839.0000000000002,1839.0000000000002
62006414,3,1000,0,12925.0,6497541.0
62007455,1,62,0,,0.0
62007213,5,472,0,6741.0,7183.0
62007837,3,4000,0,996.0000000000001,16253.000000000002
62006549,2,101,0,2546.0,73904.0
62008814,1,323,0,12876130.0,12876130.0
62009801,3,686,0,1309.0,4303.0
62009091,1,112,0,,0.0
62009970,2,39,0,1991.0000000000002,2384.0
62010082,6,2000,0,6883.0,8086.000000000001
62010774,1,39,0,719.0,719.0
62011369,2,3000,0,166368.0,167747.0
62011763,4,29,0,1104.0,45247.0
62114931,1,253,6,2097.0,2097.0
62013240,0,107,1,,804.0
62013346,3,36,1,28939.0,113980.0
62013454,3,58,1,592954.0,592954.0
62010933,2,82,0,9882.0,9882.0
61968169,2,99,5,264944.0,264944.0
61968348,3,494,5,7321.000000000001,7321.000000000001
61969703,1,45,5,,0.0
61969836,1,21,5,7105.0,7105.0
62006233,4,512,0,1058.0,1058.0
61970199,0,17,5,,370.0
